paper,ptp,trial,t,x,y,condition,target.location
Spivey2005,1,7,132,503,103,cohort,left
Spivey2005,1,7,149,503,111,cohort,left
Spivey2005,1,7,165,503,120,cohort,left
Spivey2005,1,7,186,504,162,cohort,left
Spivey2005,1,7,215,504,201,cohort,left
Spivey2005,1,7,232,506,243,cohort,left
Spivey2005,1,7,248,508,266,cohort,left
Spivey2005,1,7,266,509,311,cohort,left
Spivey2005,1,7,282,509,335,cohort,left
Spivey2005,1,7,298,509,353,cohort,left
Spivey2005,1,7,315,507,379,cohort,left
Spivey2005,1,7,331,505,390,cohort,left
Spivey2005,1,7,348,501,403,cohort,left
Spivey2005,1,7,365,501,405,cohort,left
Spivey2005,1,7,481,501,406,cohort,left
Spivey2005,1,7,498,500,407,cohort,left
Spivey2005,1,7,515,497,410,cohort,left
Spivey2005,1,7,531,496,412,cohort,left
Spivey2005,1,7,548,494,420,cohort,left
Spivey2005,1,7,564,490,427,cohort,left
Spivey2005,1,7,581,485,432,cohort,left
Spivey2005,1,7,597,467,437,cohort,left
Spivey2005,1,7,797,470,437,cohort,left
Spivey2005,1,7,814,479,437,cohort,left
Spivey2005,1,7,830,492,438,cohort,left
Spivey2005,1,7,847,525,450,cohort,left
Spivey2005,1,7,864,569,467,cohort,left
Spivey2005,1,7,880,587,471,cohort,left
Spivey2005,1,7,897,630,476,cohort,left
Spivey2005,1,7,915,658,477,cohort,left
Spivey2005,1,7,930,699,477,cohort,left
Spivey2005,1,7,950,717,477,cohort,left
Spivey2005,1,7,963,737,477,cohort,left
Spivey2005,1,7,980,742,477,cohort,left
Spivey2005,1,7,996,743,477,cohort,left
Spivey2005,1,9,81,508,96,cohort,left
Spivey2005,1,9,116,511,102,cohort,left
Spivey2005,1,9,138,520,117,cohort,left
Spivey2005,1,9,162,537,171,cohort,left
Spivey2005,1,9,179,539,187,cohort,left
Spivey2005,1,9,195,539,223,cohort,left
Spivey2005,1,9,213,539,244,cohort,left
Spivey2005,1,9,228,538,262,cohort,left
Spivey2005,1,9,245,531,291,cohort,left
Spivey2005,1,9,263,527,305,cohort,left
Spivey2005,1,9,278,517,323,cohort,left
Spivey2005,1,9,295,513,330,cohort,left
Spivey2005,1,9,312,504,346,cohort,left
Spivey2005,1,9,328,500,353,cohort,left
Spivey2005,1,9,345,498,358,cohort,left
Spivey2005,1,9,364,495,367,cohort,left
Spivey2005,1,9,378,495,368,cohort,left
Spivey2005,1,9,395,495,370,cohort,left
Spivey2005,1,9,411,494,372,cohort,left
Spivey2005,1,9,428,493,372,cohort,left
Spivey2005,1,9,461,495,369,cohort,left
Spivey2005,1,9,478,496,365,cohort,left
Spivey2005,1,9,494,496,358,cohort,left
Spivey2005,1,9,511,495,353,cohort,left
Spivey2005,1,9,677,495,352,cohort,left
Spivey2005,1,9,694,494,348,cohort,left
Spivey2005,1,9,727,495,347,cohort,left
Spivey2005,1,9,760,496,347,cohort,left
Spivey2005,1,9,778,504,360,cohort,left
Spivey2005,1,9,794,518,386,cohort,left
Spivey2005,1,9,810,527,406,cohort,left
Spivey2005,1,9,828,543,455,cohort,left
Spivey2005,1,9,844,545,469,cohort,left
Spivey2005,1,9,860,549,492,cohort,left
Spivey2005,1,9,877,549,498,cohort,left
Spivey2005,1,9,893,549,507,cohort,left
Spivey2005,1,9,915,547,511,cohort,left
Spivey2005,1,9,943,543,511,cohort,left
Spivey2005,1,9,960,542,511,cohort,left
Spivey2005,1,9,977,538,509,cohort,left
Spivey2005,1,9,993,534,508,cohort,left
Spivey2005,1,9,1160,534,507,cohort,left
Spivey2005,1,9,1176,534,506,cohort,left
Spivey2005,1,9,1193,534,505,cohort,left
Spivey2005,1,9,1442,538,505,cohort,left
Spivey2005,1,9,1459,544,505,cohort,left
Spivey2005,1,9,1475,559,505,cohort,left
Spivey2005,1,9,1492,568,505,cohort,left
Spivey2005,1,9,1509,576,505,cohort,left
Spivey2005,1,9,1525,583,504,cohort,left
Spivey2005,1,9,1658,574,504,cohort,left
Spivey2005,1,9,1675,566,504,cohort,left
Spivey2005,1,9,1691,539,505,cohort,left
Spivey2005,1,9,1708,514,507,cohort,left
Spivey2005,1,9,1725,448,513,cohort,left
Spivey2005,1,9,1741,420,516,cohort,left
Spivey2005,1,9,1758,395,518,cohort,left
Spivey2005,1,9,1775,355,519,cohort,left
Spivey2005,1,9,1791,341,521,cohort,left
Spivey2005,1,9,1808,316,522,cohort,left
Spivey2005,1,9,1824,311,522,cohort,left
Spivey2005,1,9,1842,310,522,cohort,left
Spivey2005,1,9,1858,309,522,cohort,left
Spivey2005,1,9,1891,308,522,cohort,left
Spivey2005,1,9,1924,306,522,cohort,left
Spivey2005,1,9,2024,299,522,cohort,left
Spivey2005,1,9,2041,294,521,cohort,left
Spivey2005,1,9,2057,277,520,cohort,left
Spivey2005,1,9,2074,268,520,cohort,left
Spivey2005,1,9,2091,267,520,cohort,left
Spivey2005,1,10,312,516,85,cohort,left
Spivey2005,1,10,329,522,86,cohort,left
Spivey2005,1,10,346,533,94,cohort,left
Spivey2005,1,10,363,541,115,cohort,left
Spivey2005,1,10,379,543,132,cohort,left
Spivey2005,1,10,395,545,176,cohort,left
Spivey2005,1,10,412,547,208,cohort,left
Spivey2005,1,10,429,549,249,cohort,left
Spivey2005,1,10,445,549,315,cohort,left
Spivey2005,1,10,464,549,347,cohort,left
Spivey2005,1,10,479,546,387,cohort,left
Spivey2005,1,10,495,544,400,cohort,left
Spivey2005,1,10,512,540,411,cohort,left
Spivey2005,1,10,528,533,417,cohort,left
Spivey2005,1,10,545,529,418,cohort,left
Spivey2005,1,10,562,519,418,cohort,left
Spivey2005,1,10,579,510,414,cohort,left
